5,Numer,Dzien,Miesiac,Rok,L1,L2,L3,L4,L5,L6
501,5885,29,12,2016,6,16,27,28,31,36
502,4356,3,1,2007,18,31,38,45,46,49
502,5593,17,2,2015,18,34,38,45,46,49
503,1501,26,8,1979,11,19,27,31,43,45
503,4372,28,2,2007,4,11,19,27,43,45
504,904,5,8,1973,4,13,25,27,47,48
504,4378,21,3,2007,4,17,25,27,47,48
505,3663,13,5,2000,7,8,15,38,43,46
505,4386,18,4,2007,7,15,22,38,43,46
506,2220,19,7,1986,6,8,24,27,40,49
506,4398,30,5,2007,6,8,24,32,40,49
507,3074,21,9,1994,2,7,10,16,21,30
507,4399,2,6,2007,2,10,16,21,30,44
508,1371,28,5,1978,1,14,19,28,32,38
508,4402,13,6,2007,1,14,19,27,28,38
509,1885,1,5,1983,4,33,36,40,45,47
509,4408,4,7,2007,4,16,33,40,45,47
510,679,4,1,1970,3,13,19,22,32,36
510,4415,28,7,2007,3,19,22,23,32,36
511,4423,25,8,2007,4,5,8,17,28,30
511,5789,19,5,2016,4,5,8,17,25,30
512,1410,15,10,1978,5,15,25,26,40,42
512,4425,1,9,2007,5,15,21,25,26,40
513,3194,15,11,1995,8,12,14,18,24,28
513,4441,9,10,2007,5,8,12,14,18,24
514,4443,13,10,2007,5,13,14,27,28,45
514,5656,14,7,2015,5,13,14,28,42,45
515,2326,25,7,1987,6,8,11,12,34,45
515,4453,6,11,2007,6,11,12,15,34,45
516,3311,28,12,1996,3,11,12,21,39,44
516,4455,10,11,2007,3,11,12,21,32,44
517,2896,6,1,1993,4,5,19,24,44,46
517,4480,8,1,2008,4,5,19,24,29,44
517,5577,10,1,2015,5,12,19,24,29,44
518,4482,12,1,2008,7,16,21,22,26,45
518,6201,5,1,2019,7,16,18,21,22,26
519,3663,13,5,2000,7,8,15,38,43,46
519,4494,9,2,2008,7,8,30,38,43,46
520,1972,4,3,1984,2,15,19,34,35,42
520,4499,21,2,2008,2,15,19,34,35,44
521,2174,8,2,1986,6,10,25,29,32,42
521,4529,1,5,2008,5,6,10,25,29,32
522,277,3,6,1962,12,18,25,30,32,39
522,4533,10,5,2008,3,18,25,30,32,39
523,900,15,7,1973,6,29,34,35,36,41
523,4539,24,5,2008,6,23,29,34,35,36
524,4545,7,6,2008,19,20,30,31,46,47
524,5111,19,1,2012,19,20,30,31,45,46
525,2532,15,7,1989,11,12,14,35,39,42
525,4551,21,6,2008,12,14,18,35,39,42
526,4577,21,8,2008,22,35,42,43,46,49
526,4820,11,3,2010,4,22,35,42,43,49
527,602,28,7,1968,2,24,26,36,37,46
527,1250,3,4,1977,24,30,33,36,37,46
527,4582,2,9,2008,24,26,33,36,37,46
528,1822,26,9,1982,14,17,18,22,33,46
528,4585,9,9,2008,14,17,22,24,33,46
529,2977,16,10,1993,1,13,16,17,22,36
529,4589,18,9,2008,1,13,16,17,22,37
530,4590,20,9,2008,5,15,25,27,45,47
530,5891,12,1,2017,5,25,27,45,47,49
530,6475,6,10,2020,5,15,20,25,27,47
531,4060,3,3,2004,7,9,21,29,38,46
531,4593,27,9,2008,6,7,9,21,29,46
532,1432,31,12,1978,3,18,19,28,33,47
532,4602,18,10,2008,3,6,18,19,28,33
533,2814,25,3,1992,4,6,37,41,42,47
533,4606,28,10,2008,4,6,19,37,41,42
534,1590,6,7,1980,2,3,22,31,36,44
534,4607,30,10,2008,2,22,31,36,44,46
535,119,24,5,1959,5,17,20,23,32,34
535,4617,22,11,2008,17,20,23,32,34,48
536,4104,4,8,2004,4,9,12,22,24,45
536,4618,25,11,2008,4,9,22,24,40,45
537,1360,23,4,1978,11,24,27,39,40,42
537,4624,9,12,2008,11,22,24,27,40,42
538,2431,23,7,1988,3,6,7,38,40,46
538,4626,13,12,2008,3,7,38,40,43,46
539,2071,9,2,1985,5,10,17,33,39,46
539,4631,25,12,2008,2,10,17,33,39,46
540,2033,29,9,1984,1,8,13,17,23,40
540,4633,30,12,2008,8,11,13,17,23,40
541,2147,2,11,1985,10,11,15,28,37,39
541,4640,15,1,2009,10,11,15,24,28,37
542,3114,8,2,1995,3,21,23,30,40,41
542,4648,3,2,2009,3,18,21,23,30,41
542,4976,10,3,2011,3,18,21,23,27,30
543,4654,17,2,2009,12,26,39,40,44,49
543,5781,30,4,2016,23,26,39,40,44,49
544,4657,24,2,2009,32,36,38,45,47,49
544,4972,1,3,2011,26,32,36,38,45,49
545,2721,4,5,1991,6,13,23,32,41,47
545,4661,5,3,2009,13,23,32,41,45,47
546,1881,17,4,1983,6,32,37,40,46,49
546,4687,5,5,2009,6,32,40,45,46,49
547,2586,20,1,1990,6,9,10,13,35,40
547,4696,26,5,2009,6,9,10,13,35,37
548,1668,5,4,1981,17,21,31,35,39,41
548,4703,11,6,2009,21,23,31,35,39,41
549,185,28,8,1960,5,9,10,29,39,41
549,4725,1,8,2009,5,9,10,20,29,39
550,4729,11,8,2009,6,7,14,25,39,42
550,6206,17,1,2019,6,7,13,14,39,42
551,4731,15,8,2009,1,7,29,35,38,45
551,6088,17,4,2018,1,7,9,29,35,45
552,1432,31,12,1978,3,18,19,28,33,47
552,4733,20,8,2009,3,5,18,19,33,47
553,813,7,5,1972,3,6,7,21,41,45
553,4735,25,8,2009,3,7,21,34,41,45
554,2538,5,8,1989,4,17,19,26,35,48
554,4741,8,9,2009,4,7,19,26,35,48
555,2403,16,4,1988,18,26,31,35,42,46
555,4749,26,9,2009,18,26,35,42,43,46
556,2193,12,4,1986,4,16,19,23,27,30
556,4751,1,10,2009,4,16,19,27,28,30
556,5794,31,5,2016,4,12,16,27,28,30
557,41,10,11,1957,8,19,28,30,31,47
557,4789,29,12,2009,8,16,19,30,31,47
558,4794,9,1,2010,2,3,16,25,38,40
558,6041,28,12,2017,2,3,7,25,38,40
559,645,18,5,1969,6,25,26,33,34,35
559,4801,26,1,2010,6,23,25,26,33,35
560,4577,21,8,2008,22,35,42,43,46,49
560,4820,11,3,2010,4,22,35,42,43,49
561,4830,3,4,2010,16,17,31,36,37,42
561,5896,24,1,2017,17,31,36,37,42,46
562,166,17,4,1960,1,14,28,34,41,43
562,4855,1,6,2010,1,14,25,28,34,41
563,4856,3,6,2010,17,20,29,43,44,45
563,6362,16,1,2020,1,20,29,43,44,45
564,4861,15,6,2010,14,16,29,36,38,44
564,4909,5,10,2010,7,14,16,36,38,44
565,4877,22,7,2010,9,15,21,33,40,43
565,6400,14,4,2020,8,9,15,21,33,43
566,325,5,5,1963,1,27,34,40,44,46
566,4879,27,7,2010,1,6,27,34,40,46
567,77,3,8,1958,2,4,22,31,32,43
567,4880,29,7,2010,2,4,22,30,31,32
568,4123,9,10,2004,13,15,22,23,24,32
568,4888,17,8,2010,13,17,22,23,24,32
569,3906,11,9,2002,7,14,16,25,38,44
569,4861,15,6,2010,14,16,29,36,38,44
569,4909,5,10,2010,7,14,16,36,38,44
570,4924,9,11,2010,1,12,22,28,40,47
570,5964,1,7,2017,12,22,28,30,40,47
571,2778,20,11,1991,7,14,20,21,32,38
571,4928,18,11,2010,7,20,21,26,32,38
572,1056,25,5,1975,19,22,25,32,40,46
572,4931,25,11,2010,19,22,25,28,40,46
573,4936,7,12,2010,13,22,24,27,36,37
573,6051,20,1,2018,22,24,25,27,36,37
574,3967,12,4,2003,2,4,9,31,39,42
574,4940,16,12,2010,4,9,31,39,42,46
575,4969,22,2,2011,1,15,17,31,42,46
575,5318,16,5,2013,1,15,17,31,41,42
576,2301,25,4,1987,3,26,32,36,45,49
576,4657,24,2,2009,32,36,38,45,47,49
576,4972,1,3,2011,26,32,36,38,45,49
577,4648,3,2,2009,3,18,21,23,30,41
577,4976,10,3,2011,3,18,21,23,27,30
578,1731,8,11,1981,8,10,16,24,29,44
578,4991,14,4,2011,5,8,10,16,24,44
579,2532,15,7,1989,11,12,14,35,39,42
579,4999,3,5,2011,11,12,14,35,37,39
580,2386,20,2,1988,3,22,29,35,41,47
580,5018,16,6,2011,22,23,29,35,41,47
581,1263,15,5,1977,5,8,19,32,41,46
581,5020,21,6,2011,2,5,19,32,41,46
582,503,18,9,1966,3,10,11,12,28,29
582,5021,23,6,2011,3,11,12,28,29,43
583,3501,24,10,1998,31,33,35,36,38,43
583,5026,5,7,2011,15,31,35,36,38,43
584,929,2,12,1973,13,17,28,29,48,49
584,5029,12,7,2011,14,17,28,29,48,49
585,3949,8,2,2003,19,22,23,29,35,43
585,5037,30,7,2011,6,19,23,29,35,43
586,549,30,7,1967,15,20,29,33,39,46
586,5043,13,8,2011,15,20,29,33,34,46
587,5048,25,8,2011,10,21,37,39,43,46
587,5619,18,4,2015,10,21,34,37,43,46
588,5049,27,8,2011,1,22,37,40,48,49
588,6537,27,2,2021,1,22,37,40,42,48
589,4264,15,2,2006,10,23,28,32,41,49
589,5056,13,9,2011,9,10,28,32,41,49
590,1690,21,6,1981,6,19,24,28,31,35
590,5086,22,11,2011,6,9,19,28,31,35
591,1755,31,1,1982,11,17,19,23,38,42
591,5094,10,12,2011,11,17,23,38,42,46
592,4545,7,6,2008,19,20,30,31,46,47
592,5111,19,1,2012,19,20,30,31,45,46
593,1109,23,11,1975,8,27,30,41,44,49
593,5113,24,1,2012,27,30,41,42,44,49
594,151,3,1,1960,3,6,11,15,27,48
594,1871,13,3,1983,3,6,15,21,27,37
594,5114,26,1,2012,3,6,15,27,37,48
595,2877,31,10,1992,23,26,36,39,40,45
595,5131,6,3,2012,10,26,36,39,40,45
596,1572,4,5,1980,3,4,18,19,39,43
596,5146,10,4,2012,3,4,18,20,39,43
597,1279,10,7,1977,19,24,25,37,40,42
597,5156,3,5,2012,18,19,24,25,40,42
598,5166,26,5,2012,7,14,20,25,39,46
598,5825,11,8,2016,7,8,20,25,39,46
599,3781,30,6,2001,7,9,21,36,39,41
599,5176,19,6,2012,7,9,21,32,36,41
600,996,20,10,1974,5,8,11,13,35,49
600,5185,10,7,2012,5,8,13,35,45,49
601,2524,17,6,1989,12,20,27,36,42,46
601,5205,25,8,2012,12,27,36,42,45,46
602,5215,18,9,2012,17,22,32,35,41,44
602,5717,3,12,2015,17,32,35,39,41,44
603,1579,25,5,1980,2,16,37,38,45,48
603,5225,11,10,2012,2,4,16,37,38,48
604,3826,5,12,2001,7,25,41,44,45,47
604,5231,25,10,2012,7,24,25,41,45,47
605,80,24,8,1958,17,21,27,35,41,49
605,5243,22,11,2012,7,17,21,27,41,49
606,71,22,6,1958,2,14,22,44,48,49
606,5256,22,12,2012,2,14,22,43,44,48
607,1486,8,7,1979,5,12,27,29,30,49
607,5264,10,1,2013,5,21,27,29,30,49
608,3022,23,3,1994,3,18,27,33,40,41
608,5272,29,1,2013,3,13,27,33,40,41
609,1627,9,11,1980,6,10,12,22,30,46
609,5283,23,2,2013,6,10,12,22,30,45
609,5331,15,6,2013,6,10,12,22,30,37
610,175,19,6,1960,13,14,27,31,35,40
610,2539,5,8,1989,13,14,27,28,30,31
610,5316,11,5,2013,13,14,27,30,31,35
611,4969,22,2,2011,1,15,17,31,42,46
611,5318,16,5,2013,1,15,17,31,41,42
612,1627,9,11,1980,6,10,12,22,30,46
612,5283,23,2,2013,6,10,12,22,30,45
612,5331,15,6,2013,6,10,12,22,30,37
613,4310,26,7,2006,2,15,19,30,39,48
613,5354,8,8,2013,2,15,19,30,37,48
614,5359,20,8,2013,4,18,26,31,33,42
614,6477,10,10,2020,4,16,18,26,31,42
615,1588,29,6,1980,2,3,26,30,42,45
615,5360,22,8,2013,2,3,17,26,30,42
616,4280,12,4,2006,2,15,18,25,26,46
616,5371,17,9,2013,2,8,15,25,26,46
617,1355,2,4,1978,16,17,23,24,27,33
617,5372,19,9,2013,5,16,17,23,24,33
618,2620,19,5,1990,4,10,11,28,39,46
618,5377,1,10,2013,4,10,11,21,28,39
619,2503,1,4,1989,1,5,7,17,18,40
619,5379,5,10,2013,1,5,17,18,27,40
620,5388,26,10,2013,12,13,16,28,40,47
620,5461,15,4,2014,12,13,15,16,40,47
621,884,6,5,1973,2,4,15,20,22,29
621,5390,31,10,2013,2,4,18,20,22,29
622,3848,20,2,2002,7,10,11,19,27,46
622,5398,19,11,2013,7,10,11,12,19,27
623,206,22,1,1961,5,15,27,37,45,48
623,5410,17,12,2013,5,15,16,27,45,48
624,3471,11,7,1998,5,18,28,38,43,44
624,5412,21,12,2013,18,27,28,38,43,44
625,4266,22,2,2006,4,19,21,38,42,45
625,5420,9,1,2014,4,6,19,38,42,45
626,1005,24,11,1974,4,18,24,30,35,36
626,5430,1,2,2014,4,18,24,30,36,37
627,3875,25,5,2002,7,24,27,29,46,49
627,5432,6,2,2014,7,27,29,32,46,49
628,881,15,4,1973,16,21,22,32,42,44
628,5436,15,2,2014,16,21,27,32,42,44
629,1362,30,4,1978,14,27,33,42,43,49
629,5439,22,2,2014,14,27,33,43,48,49
630,1675,26,4,1981,11,13,29,30,44,46
630,5458,8,4,2014,11,13,17,29,30,46
631,5388,26,10,2013,12,13,16,28,40,47
631,5461,15,4,2014,12,13,15,16,40,47
632,2664,20,10,1990,20,27,32,33,43,46
632,5462,17,4,2014,20,24,27,33,43,46
633,765,1,8,1971,5,13,18,23,30,32
633,5465,24,4,2014,5,8,18,23,30,32
634,2578,23,12,1989,5,15,19,27,31,48
634,5469,3,5,2014,4,5,15,19,27,48
635,290,2,9,1962,1,6,10,15,28,32
635,5475,17,5,2014,1,6,12,15,28,32
636,1704,9,8,1981,3,11,25,29,36,45
636,5479,27,5,2014,3,11,20,29,36,45
637,3327,22,2,1997,8,15,17,26,27,35
637,5483,5,6,2014,8,15,17,27,29,35
638,3463,13,6,1998,1,6,11,14,34,48
638,5539,14,10,2014,6,11,14,31,34,48
639,2969,18,9,1993,2,3,13,28,31,39
639,4267,25,2,2006,3,11,13,28,31,37
639,5551,11,11,2014,2,3,11,13,28,31
640,5560,2,12,2014,3,7,18,40,46,47
640,6536,25,2,2021,3,7,14,18,40,46
641,4480,8,1,2008,4,5,19,24,29,44
641,5577,10,1,2015,5,12,19,24,29,44
642,2736,29,6,1991,9,14,17,20,39,41
642,5584,27,1,2015,9,11,17,20,39,41
643,4356,3,1,2007,18,31,38,45,46,49
643,5593,17,2,2015,18,34,38,45,46,49
644,3245,11,5,1996,2,14,22,23,31,34
644,5596,24,2,2015,2,14,22,23,34,49
645,5048,25,8,2011,10,21,37,39,43,46
645,5619,18,4,2015,10,21,34,37,43,46
646,3134,19,4,1995,5,6,9,11,17,23
646,5644,16,6,2015,5,6,11,17,23,28
647,4443,13,10,2007,5,13,14,27,28,45
647,5656,14,7,2015,5,13,14,28,42,45
648,5669,13,8,2015,14,23,33,40,41,46
648,6365,23,1,2020,22,23,33,40,41,46
649,2554,30,9,1989,1,4,22,33,48,49
649,5671,18,8,2015,1,4,23,33,48,49
650,618,17,11,1968,6,16,21,30,40,47
650,5672,20,8,2015,6,16,21,30,47,48
651,3618,8,12,1999,9,18,20,26,29,44
651,5681,10,9,2015,4,9,18,26,29,44
652,5700,24,10,2015,17,21,28,29,39,45
652,6409,5,5,2020,21,28,29,39,45,49
653,5215,18,9,2012,17,22,32,35,41,44
653,5717,3,12,2015,17,32,35,39,41,44
654,1298,18,9,1977,3,4,26,28,33,38
654,5735,14,1,2016,3,4,8,26,33,38
655,3298,13,11,1996,4,7,16,22,35,46
655,5744,4,2,2016,4,7,16,22,42,46
656,3661,6,5,2000,1,24,29,35,45,47
656,5746,9,2,2016,24,25,29,35,45,47
657,2994,15,12,1993,7,30,31,44,48,49
657,5755,1,3,2016,3,7,30,31,44,48
658,3963,29,3,2003,8,13,14,23,35,44
658,5765,24,3,2016,13,14,15,23,35,44
659,4654,17,2,2009,12,26,39,40,44,49
659,5781,30,4,2016,23,26,39,40,44,49
660,4423,25,8,2007,4,5,8,17,28,30
660,5789,19,5,2016,4,5,8,17,25,30
661,4173,2,4,2005,2,11,12,32,34,47
661,5790,21,5,2016,11,12,25,32,34,47
662,4751,1,10,2009,4,16,19,27,28,30
662,5794,31,5,2016,4,12,16,27,28,30
663,5798,9,6,2016,11,24,33,35,41,47
663,5865,12,11,2016,10,11,24,33,35,47
664,1793,13,6,1982,1,2,26,37,43,44
664,5800,14,6,2016,1,2,13,26,37,44
665,3012,16,2,1994,5,9,27,28,30,34
665,5802,18,6,2016,5,9,27,28,30,48
666,223,21,5,1961,2,7,9,23,26,47
666,5812,12,7,2016,2,7,9,23,42,47
667,5166,26,5,2012,7,14,20,25,39,46
667,5825,11,8,2016,7,8,20,25,39,46
668,4264,15,2,2006,10,23,28,32,41,49
668,5828,18,8,2016,10,13,23,28,32,49
669,5831,25,8,2016,7,8,34,35,37,48
669,6002,28,9,2017,8,10,34,35,37,48
670,550,6,8,1967,2,20,30,44,47,49
670,5835,3,9,2016,2,20,37,44,47,49
671,441,18,7,1965,2,4,6,17,27,49
671,2529,1,7,1989,2,4,17,34,40,49
671,5836,6,9,2016,2,4,6,17,34,49
672,5844,24,9,2016,5,6,9,15,28,46
672,6350,19,12,2019,5,6,15,28,32,46
673,5798,9,6,2016,11,24,33,35,41,47
673,5865,12,11,2016,10,11,24,33,35,47
674,3030,20,4,1994,1,3,13,18,23,38
674,5877,10,12,2016,3,13,18,21,23,38
675,3075,24,9,1994,2,12,16,41,45,46
675,5878,13,12,2016,2,12,16,41,42,46
676,5880,17,12,2016,7,33,37,45,47,48
676,6506,17,12,2020,6,7,33,37,45,47
677,4351,16,12,2006,6,16,28,31,36,47
677,5885,29,12,2016,6,16,27,28,31,36
678,4590,20,9,2008,5,15,25,27,45,47
678,5891,12,1,2017,5,25,27,45,47,49
679,4830,3,4,2010,16,17,31,36,37,42
679,5896,24,1,2017,17,31,36,37,42,46
680,1605,24,8,1980,14,21,38,40,42,44
680,5921,23,3,2017,14,21,32,38,42,44
681,125,5,7,1959,6,23,25,29,30,34
681,5924,30,3,2017,6,18,23,25,30,34
682,3032,27,4,1994,17,21,30,34,40,41
682,5925,1,4,2017,17,21,30,40,41,44
683,3906,11,9,2002,7,14,16,25,38,44
683,5939,4,5,2017,7,14,25,38,44,49
684,2509,22,4,1989,3,25,28,32,34,48
684,5941,9,5,2017,3,17,28,32,34,48
685,210,19,2,1961,3,22,23,28,40,43
685,5942,11,5,2017,3,22,23,28,38,43
686,5943,13,5,2017,6,11,23,37,44,46
686,6000,23,9,2017,11,22,23,37,44,46
687,1111,30,11,1975,4,24,34,40,44,47
687,5945,18,5,2017,4,17,24,34,40,47
688,4924,9,11,2010,1,12,22,28,40,47
688,5964,1,7,2017,12,22,28,30,40,47
689,3707,14,10,2000,5,7,10,13,36,38
689,5984,17,8,2017,7,10,13,19,36,38
690,2274,24,1,1987,4,14,27,35,36,46
690,5985,19,8,2017,4,15,27,35,36,46
691,2099,18,5,1985,4,7,21,34,37,39
691,5989,29,8,2017,4,21,34,37,38,39
692,2846,15,7,1992,15,16,23,31,32,35
692,5998,19,9,2017,3,15,16,31,32,35
693,5943,13,5,2017,6,11,23,37,44,46
693,6000,23,9,2017,11,22,23,37,44,46
694,5831,25,8,2016,7,8,34,35,37,48
694,6002,28,9,2017,8,10,34,35,37,48
695,837,17,9,1972,2,8,18,30,44,46
695,6019,7,11,2017,2,8,18,27,30,46
696,3879,8,6,2002,4,8,17,43,45,48
696,6023,16,11,2017,4,8,17,33,45,48
697,2154,30,11,1985,7,18,20,26,27,29
697,6026,23,11,2017,2,7,18,20,27,29
698,1674,26,4,1981,1,21,27,31,33,41
698,6036,16,12,2017,1,13,27,31,33,41
699,308,6,1,1963,9,13,19,31,35,40
699,6037,19,12,2017,9,13,31,34,35,40
700,4794,9,1,2010,2,3,16,25,38,40
700,6041,28,12,2017,2,3,7,25,38,40
701,4936,7,12,2010,13,22,24,27,36,37
701,6051,20,1,2018,22,24,25,27,36,37
702,762,11,7,1971,5,13,20,24,39,43
702,6059,8,2,2018,5,17,20,24,39,43
703,2281,14,2,1987,1,5,9,11,37,44
703,6066,24,2,2018,1,4,5,11,37,44
704,3655,15,4,2000,13,17,25,32,39,49
704,6075,17,3,2018,13,25,32,34,39,49
705,1722,11,10,1981,3,7,22,32,41,46
705,6086,12,4,2018,3,6,7,22,32,41
706,4731,15,8,2009,1,7,29,35,38,45
706,6088,17,4,2018,1,7,9,29,35,45
707,2147,2,11,1985,10,11,15,28,37,39
707,6092,26,4,2018,1,10,11,15,37,39
708,2357,7,11,1987,2,9,12,17,18,29
708,6104,24,5,2018,2,9,12,17,18,23
709,1710,30,8,1981,3,8,18,19,27,36
709,6108,2,6,2018,3,8,12,19,27,36
710,466,9,1,1966,17,23,26,30,31,32
710,6110,7,6,2018,23,26,30,31,32,35
711,3048,22,6,1994,10,19,25,31,39,49
711,6113,14,6,2018,10,25,31,39,42,49
712,284,22,7,1962,6,9,30,31,34,39
712,6116,21,6,2018,6,9,22,30,34,39
713,3657,22,4,2000,1,3,13,25,38,44
713,6125,12,7,2018,3,13,24,25,38,44
714,2793,11,1,1992,1,4,5,15,39,47
714,6130,24,7,2018,4,5,15,37,39,47
715,2217,5,7,1986,3,5,6,23,36,40
715,6133,31,7,2018,3,5,6,24,36,40
716,3026,6,4,1994,7,24,36,38,42,44
716,6154,18,9,2018,7,21,24,36,38,42
717,1477,3,6,1979,2,14,24,26,36,40
717,3752,21,3,2001,2,14,22,24,26,34
717,6172,30,10,2018,2,14,22,24,26,36
718,1847,19,12,1982,2,13,21,24,27,36
718,6188,6,12,2018,2,21,24,27,35,36
719,4482,12,1,2008,7,16,21,22,26,45
719,6201,5,1,2019,7,16,18,21,22,26
720,4729,11,8,2009,6,7,14,25,39,42
720,6206,17,1,2019,6,7,13,14,39,42
721,1380,2,7,1978,1,14,34,36,38,44
721,6208,22,1,2019,1,10,14,36,38,44
722,2536,29,7,1989,9,27,31,34,37,39
722,6237,30,3,2019,9,27,31,34,37,45
723,2287,7,3,1987,7,11,18,21,29,46
723,6251,2,5,2019,7,9,11,18,29,46
724,2560,21,10,1989,2,6,8,16,25,48
724,6253,7,5,2019,2,6,8,16,36,48
725,3187,21,10,1995,3,4,6,11,23,40
725,6281,11,7,2019,4,6,11,23,40,49
726,2683,22,12,1990,14,17,26,30,35,46
726,6294,10,8,2019,14,17,26,35,39,46
727,340,18,8,1963,13,18,20,23,27,40
727,6300,24,8,2019,13,18,23,27,40,48
728,3915,12,10,2002,24,26,30,41,42,47
728,6327,26,10,2019,24,26,37,41,42,47
729,2730,8,6,1991,4,6,7,15,43,44
729,6328,29,10,2019,6,7,15,27,43,44
730,478,27,3,1966,6,9,20,34,40,42
730,6334,12,11,2019,9,20,34,40,42,43
731,2517,20,5,1989,15,16,21,22,40,49
731,6337,19,11,2019,14,15,16,21,40,49
732,5844,24,9,2016,5,6,9,15,28,46
732,6350,19,12,2019,5,6,15,28,32,46
733,4856,3,6,2010,17,20,29,43,44,45
733,6362,16,1,2020,1,20,29,43,44,45
734,2719,27,4,1991,9,30,32,38,42,45
734,6363,18,1,2020,9,15,30,32,38,42
735,5669,13,8,2015,14,23,33,40,41,46
735,6365,23,1,2020,22,23,33,40,41,46
736,2835,6,6,1992,2,10,22,31,38,43
736,6376,18,2,2020,2,10,19,22,31,38
737,2730,8,6,1991,4,6,7,15,43,44
737,6378,22,2,2020,4,6,15,35,43,44
738,3598,29,9,1999,3,13,14,26,29,37
738,6398,9,4,2020,3,13,14,26,37,38
739,4877,22,7,2010,9,15,21,33,40,43
739,6400,14,4,2020,8,9,15,21,33,43
740,466,9,1,1966,17,23,26,30,31,32
740,6407,30,4,2020,10,17,23,26,30,32
741,5700,24,10,2015,17,21,28,29,39,45
741,6409,5,5,2020,21,28,29,39,45,49
742,677,21,12,1969,3,28,32,36,37,40
742,6411,9,5,2020,8,28,32,36,37,40
743,761,4,7,1971,20,27,30,38,47,49
743,6469,22,9,2020,16,20,27,30,38,47
744,4590,20,9,2008,5,15,25,27,45,47
744,6475,6,10,2020,5,15,20,25,27,47
745,5359,20,8,2013,4,18,26,31,33,42
745,6477,10,10,2020,4,16,18,26,31,42
746,1827,10,10,1982,3,6,7,25,33,45
746,6487,3,11,2020,3,6,10,25,33,45
747,263,25,2,1962,2,5,8,15,22,28
747,6491,12,11,2020,3,5,8,15,22,28
748,1967,12,2,1984,2,5,10,15,28,39
748,6495,21,11,2020,2,10,15,28,39,40
749,5880,17,12,2016,7,33,37,45,47,48
749,6506,17,12,2020,6,7,33,37,45,47
750,338,4,8,1963,1,5,17,23,37,48
750,6511,29,12,2020,1,17,23,37,45,48
751,2649,25,8,1990,13,17,39,43,48,49
751,6522,23,1,2021,13,17,35,39,43,48
752,5560,2,12,2014,3,7,18,40,46,47
752,6536,25,2,2021,3,7,14,18,40,46
753,5049,27,8,2011,1,22,37,40,48,49
753,6537,27,2,2021,1,22,37,40,42,48
